,lat,lon,depth,slip,rake,strike,dip,t_rup,t_ris,t_fal,mo
154,40.356094,-124.856331,18.549999,89.080284,170.656418,96.0,90.0,7.43133,1.5,1.5,6.33697e+24
155,40.352615,-124.812912,18.549999,75.824333,182.337479,96.0,90.0,9.744819,1.5,1.5,5.39397e+24
156,40.34914,-124.769493,18.549999,46.776604,209.308289,96.0,90.0,12.90686,3.0,1.5,3.32758e+24
157,40.345661,-124.726074,18.549999,0.594759,199.763336,96.0,90.0,16.499269,1.5,3.0,4.23098e+22
158,40.342186,-124.682655,18.549999,1.531382,180.852524,96.0,90.0,19.911745,1.5,4.5,1.08939e+23
159,40.338711,-124.639236,18.549999,1.678756,172.827225,96.0,90.0,22.938099,3.0,1.5,1.19423e+23
160,40.335232,-124.595818,18.549999,7.066997,208.117889,96.0,90.0,25.174421,1.5,4.5,5.0273e+23
161,40.331757,-124.552406,18.549999,6.06437,208.914062,96.0,90.0,26.618124,1.5,3.0,4.31405e+23
162,40.328278,-124.508987,18.549999,5.022279,206.834564,96.0,90.0,27.06744,3.0,4.5,3.57273e+23
163,40.324802,-124.465569,18.549999,0.852288,208.192978,96.0,90.0,27.121119,3.0,4.5,6.06298e+22
164,40.321327,-124.42215,18.549999,1.87476,197.861603,96.0,90.0,26.978252,4.5,1.5,1.33366e+23
165,40.317848,-124.378731,18.549999,0.131076,177.063248,96.0,90.0,26.838167,3.0,4.5,9.32442e+21
166,40.314373,-124.335312,18.549999,3.116634,192.3396,96.0,90.0,27.100357,4.5,3.0,2.2171e+23
167,40.310894,-124.291893,18.549999,0.04861,207.316925,96.0,90.0,27.964424,4.5,3.0,3.45798e+21
168,40.390862,-125.290504,21.4,0.135761,190.610916,96.0,90.0,15.773846,4.5,1.5,9.65772e+21
169,40.387383,-125.247093,21.4,0.016247,170.734589,96.0,90.0,14.285347,1.5,3.0,1.15579e+21
170,40.383907,-125.203674,21.4,2.150361,190.371109,96.0,90.0,12.467547,3.0,1.5,1.52972e+23
171,40.380432,-125.160255,21.4,0.786241,183.163254,96.0,90.0,10.561179,3.0,4.5,5.59314e+22
172,40.376953,-125.116837,21.4,4.239753,182.252716,96.0,90.0,9.234728,1.5,4.5,3.01606e+23
173,40.373478,-125.073418,21.4,5.224721,196.466019,96.0,90.0,7.99367,4.5,1.5,3.71675e+23
174,40.369999,-125.029999,21.4,1.379767,176.056793,96.0,90.0,6.76,3.0,1.5,9.81535e+22
175,40.366524,-124.98658,21.4,4.985784,198.518326,96.0,90.0,5.99367,4.5,1.5,3.54677e+23
176,40.363045,-124.943161,21.4,28.527411,171.887924,96.0,90.0,5.834728,1.5,3.0,2.02937e+24
177,40.35957,-124.89975,21.4,49.645844,170.255783,96.0,90.0,6.561179,1.5,3.0,3.53169e+24
178,40.356094,-124.856331,21.4,51.818108,169.874191,96.0,90.0,7.867548,1.5,1.5,3.68622e+24
179,40.352615,-124.812912,21.4,41.128201,172.509445,96.0,90.0,10.485348,1.5,1.5,2.92577e+24
180,40.34914,-124.769493,21.4,18.571615,204.781097,96.0,90.0,13.773846,1.5,1.5,1.32114e+24
181,40.345661,-124.726074,21.4,0.495769,177.285812,96.0,90.0,17.508902,1.5,1.5,3.52679e+22
182,40.342186,-124.682655,21.4,2.508916,191.640717,96.0,90.0,21.075813,4.5,3.0,1.78479e+23
183,40.338711,-124.639236,21.4,13.873755,208.953064,96.0,90.0,24.065296,4.5,1.5,9.86947e+23
184,40.335232,-124.595818,21.4,32.055096,206.277969,96.0,90.0,26.271271,3.0,1.5,2.28033e+24
185,40.331757,-124.552406,21.4,35.897034,208.584808,96.0,90.0,27.289619,1.5,3.0,2.55363e+24
186,40.328278,-124.508987,21.4,24.21283,208.086304,96.0,90.0,27.717468,3.0,1.5,1.72245e+24
187,40.324802,-124.465569,21.4,11.355416,207.138763,96.0,90.0,27.552753,3.0,3.0,8.07798e+23
188,40.321327,-124.42215,21.4,2.534873,178.958771,96.0,90.0,27.593967,4.5,4.5,1.80325e+23
189,40.317848,-124.378731,21.4,0.81629,194.817017,96.0,90.0,27.439976,4.5,3.0,5.8069e+22
190,40.314373,-124.335312,21.4,3.324011,201.873566,96.0,90.0,27.68992,3.0,1.5,2.36463e+23
191,40.310894,-124.291893,21.4,2.688965,190.941055,96.0,90.0,28.543125,4.5,4.5,1.91287e+23
192,40.390862,-125.290504,24.25,4.471622,192.33461,96.0,90.0,17.743908,4.5,3.0,3.18101e+23
193,40.387383,-125.247093,24.25,0.196947,173.716156,96.0,90.0,16.134434,1.5,1.5,1.40104e+22
194,40.383907,-125.203674,24.25,0.773911,204.839432,96.0,90.0,14.213444,1.5,1.5,5.50543e+22
195,40.380432,-125.160255,24.25,1.449892,172.315323,96.0,90.0,12.222258,1.5,4.5,1.03142e+23
196,40.376953,-125.116837,24.25,3.123541,196.358643,96.0,90.0,10.821266,1.5,3.0,2.22202e+23
197,40.373478,-125.073418,24.25,2.075579,175.887161,96.0,90.0,9.488605,3.0,3.0,1.47652e+23
198,40.369999,-125.029999,24.25,0.507996,196.479462,96.0,90.0,8.5,3.0,3.0,3.61377e+22
